index,host,source,sourcetype,"_raw","_time"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.135830-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1318 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1255 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=HumanResources relation=vEmployee DepartmentXXX  mode=write user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.142562-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1319 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1283 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Production relation=Work OrderRoutingXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.155992-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1321 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1224 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Person relation=PersonXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.176023-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1324 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1269 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Sales relation=vStore WithAddress esXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.182709-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1325 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1201 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Sales relation=ShoppingCartItemXXX  mode=write user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.189408-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1326 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1209 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Inventory relation=DeviceXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.208989-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1329 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1281 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Sales relation=vIndividualCustomerXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.215222-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1330 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1278 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=HumanResources relation=vJob CandidateXXX  mode=write user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.221364-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1331 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1230 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Sales relation=vStore WithContactsXXX  mode=write user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.233439-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1333 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1241 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Production relation=Transaction HistoryXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
